time,elev1,elev2,elev3,elev4,elev5,elev6,elev7,elev8,elev9,elev10,elevTime1,elevTime2,elevTime3,elevTime4,elevTime5,elevTime6,elevTime7,elevTime8,elevTime9,elevTime10
84.0,1,2,3,4,5,6,7,8,9,20,12.0,17.0,22.0,27.0,32.0,37.0,42.0,47.0,52.0,123.0
80.66666666666667,2,3,4,5,6,7,8,9,10,20,18.0,22.0,27.0,32.0,37.0,42.0,47.0,52.0,57.0,122.0
78.0,3,4,5,6,7,8,9,10,11,20,24.0,27.0,32.0,37.0,42.0,47.0,52.0,57.0,62.0,121.0
76.0,4,5,6,7,8,9,10,11,12,20,30.0,32.0,37.0,42.0,47.0,52.0,57.0,62.0,67.0,120.0
74.66666666666667,5,6,7,8,9,10,11,12,13,20,36.0,37.0,42.0,47.0,52.0,57.0,62.0,67.0,72.0,119.0
74.0,6,7,8,9,10,11,12,13,14,20,42.0,42.0,47.0,52.0,57.0,62.0,67.0,72.0,77.0,118.0
74.0,7,8,9,10,11,12,13,14,15,20,48.0,47.0,52.0,57.0,62.0,67.0,72.0,77.0,82.0,117.0
72.66666666666667,7,9,10,11,12,13,14,15,16,20,48.0,53.0,57.0,62.0,67.0,72.0,77.0,82.0,87.0,116.0
73.66666666666667,8,10,11,12,13,14,15,16,17,20,54.0,58.0,62.0,67.0,72.0,77.0,82.0,87.0,92.0,115.0
75.33333333333333,9,11,12,13,14,15,16,17,18,20,60.0,63.0,67.0,72.0,77.0,82.0,87.0,92.0,97.0,114.0
77.66666666666667,10,12,13,14,15,16,17,18,19,20,66.0,68.0,72.0,77.0,82.0,87.0,92.0,97.0,102.0,113.0
